No.,H,K,L,Mult,2theta/,Ints/
58,3,5,2,24,60.76978046079091,0.1869173589787733
59,5,3,2,24,60.60361813271824,0.42903819233321405
60,6,1,1,24,60.76978046079091,0.2066052375626465
61,2,6,0,12,62.35115878811335,0.6026651256419413
62,6,2,0,12,62.52319610548431,0.40121986009190963
63,2,6,0,12,62.35115878811335,0.6026651256419413
64,6,2,0,12,62.52319610548431,0.40121986009190963
65,4,5,1,24,64.07120210749787,1.0054533303017827
66,5,4,1,24,64.24912935663296,0.14049807005170148
67,4,5,1,24,64.07120210749787,1.0054533303017827
68,5,4,1,24,64.24912935663296,0.14049807005170148
69,6,2,2,24,65.76648961505072,0.6835620664112777
70,6,2,2,24,65.95033186841461,0.6775485693304796
71,3,6,1,24,67.43948562122776,0.05641980162880139
72,6,3,1,24,67.62927768167658,0.9470905872941978
73,3,6,1,24,67.43948562122776,0.05641980162880139
74,6,3,1,24,67.62927768167658,0.9470905872941978
75,4,4,4,8,69.0924215469582,0.21608053321156043
76,4,4,4,8,69.28820767740173,0.21423098511133978
77,1,7,0,12,70.72733218225822,0.06411109024377785
78,4,5,3,24,70.9291659477301,0.6254578190192962
79,5,4,3,24,70.72733218225822,0.04972235383605293
80,5,5,0,12,70.9291659477301,0.018240991705546657
81,7,1,0,12,70.72733218225822,0.18346244475972676
82,1,7,0,12,70.9291659477301,0.06351821807479714
83,4,5,3,24,70.72733218225822,0.6308787921987123
84,5,4,3,24,70.9291659477301,0.04930823152317371
85,5,5,0,12,70.72733218225822,0.018410480185605343
86,7,1,0,12,70.9291659477301,0.18180617575829752
87,4,6,0,12,72.34608566418075,0.09025610120881501
88,6,4,0,12,72.5540298741197,0.17165271976622998
89,4,6,0,12,72.34608566418075,0.09025610120881501
90,6,4,0,12,72.5540298741197,0.17165271976622998
91,2,7,1,24,73.95040851840068,0.6014028163676796
92,5,5,2,24,74.16453526059553,0.04395640993148353
93,6,3,3,24,73.95040851840068,0.6891994807017564
94,7,2,1,24,74.16453526059553,0.11954836603845405
95,2,7,1,24,73.95040851840068,0.6014028163676796
96,5,5,2,24,74.16453526059553,0.04395640993148353
97,6,3,3,24,73.95040851840068,0.6891994807017564
98,7,2,1,24,74.16453526059553,0.11954836603845405
99,4,6,2,24,75.5419067901662,0.15831471422495946
100,6,4,2,24,75.7622975507592,0.2521871848439246
101,4,6,2,24,75.5419067901662,0.15831471422495946
102,6,4,2,24,75.7622975507592,0.2521871848439246
103,3,7,0,12,77.1220840570816,0.01815223755028105
104,7,3,0,12,77.34882992347708,8.88412831824673e-05
105,3,7,0,12,77.1220840570816,0.01815223755028105
106,7,3,0,12,77.34882992347708,8.88412831824673e-05
